record_frame,unity_time,unix_time,system_time_local,system_time_utc,raw_image_filename,ar_image_filename,left_x,left_y,left_z,left_roll,left_pitch,left_yaw,right_x,right_y,right_z,right_roll,right_pitch,right_yaw
0,38.721070,1775006850.854580,2026-04-01 09:27:30.8555,2026-04-01 01:27:30.8555,frame_000000.jpg,ARframe_000000.jpg,-0.1840,-0.3679,0.2085,0.00,306.39,144.82,0.1487,-0.2459,0.2232,0.00,319.64,216.04
1,38.950470,1775006851.060970,2026-04-01 09:27:31.0609,2026-04-01 01:27:31.0609,frame_000001.jpg,ARframe_000001.jpg,-0.1840,-0.3679,0.2085,0.00,306.39,144.82,0.1487,-0.2459,0.2232,0.00,319.64,216.04
2,39.051250,1775006851.188070,2026-04-01 09:27:31.1880,2026-04-01 01:27:31.1880,frame_000002.jpg,ARframe_000002.jpg,-0.1840,-0.3679,0.2085,0.00,306.39,144.82,0.1487,-0.2459,0.2232,0.00,319.64,216.04
3,39.184670,1775006851.324890,2026-04-01 09:27:31.3248,2026-04-01 01:27:31.3248,frame_000003.jpg,ARframe_000003.jpg,-0.1840,-0.3679,0.2085,0.00,306.39,144.82,0.1487,-0.2459,0.2232,0.00,319.64,216.04
4,39.319450,1775006851.454710,2026-04-01 09:27:31.4547,2026-04-01 01:27:31.4547,frame_000004.jpg,ARframe_000004.jpg,-0.1781,-0.2765,0.1984,0.00,308.81,139.95,0.1538,-0.3205,0.2566,0.00,313.34,220.74
5,39.518310,1775006851.655040,2026-04-01 09:27:31.6550,2026-04-01 01:27:31.6550,frame_000005.jpg,ARframe_000005.jpg,-0.1573,-0.2560,0.2182,0.00,311.16,148.23,0.1406,-0.3057,0.2582,0.00,314.11,218.83
6,39.618600,1775006851.755580,2026-04-01 09:27:31.7555,2026-04-01 01:27:31.7555,frame_000006.jpg,ARframe_000006.jpg,-0.1721,-0.2648,0.3084,0.00,319.57,155.25,0.0820,-0.2606,0.2717,0.00,316.86,208.45
7,39.820010,1775006851.955210,2026-04-01 09:27:31.9552,2026-04-01 01:27:31.9552,frame_000007.jpg,ARframe_000007.jpg,-0.1370,-0.2510,0.2629,0.00,315.20,159.48,0.0486,-0.2466,0.2860,0.00,318.72,201.77
8,39.986390,1775006852.122040,2026-04-01 09:27:32.1220,2026-04-01 01:27:32.1220,frame_000008.jpg,ARframe_000008.jpg,-0.1385,-0.2538,0.2683,0.00,315.69,160.59,0.0383,-0.2481,0.2944,0.00,319.37,199.57
9,40.120660,1775006852.253930,2026-04-01 09:27:32.2539,2026-04-01 01:27:32.2539,frame_000009.jpg,ARframe_000009.jpg,-0.1436,-0.2588,0.2718,0.00,315.85,160.33,0.0355,-0.2525,0.2967,0.00,319.24,198.99
10,40.256600,1775006852.391820,2026-04-01 09:27:32.3918,2026-04-01 01:27:32.3918,frame_000010.jpg,ARframe_000010.jpg,-0.1459,-0.2608,0.2733,0.00,315.89,160.09,0.0349,-0.2582,0.2976,0.00,318.71,198.94
11,40.388440,1775006852.520650,2026-04-01 09:27:32.5206,2026-04-01 01:27:32.5206,frame_000011.jpg,ARframe_000011.jpg,-0.1460,-0.2620,0.2736,0.00,315.79,159.79,0.0335,-0.2616,0.2953,0.00,318.00,198.65
12,40.519870,1775006852.653060,2026-04-01 09:27:32.6530,2026-04-01 01:27:32.6530,frame_000012.jpg,ARframe_000012.jpg,-0.1412,-0.2619,0.2737,0.00,315.61,160.31,0.0283,-0.2603,0.2917,0.00,317.50,197.63
13,40.652660,1775006852.785340,2026-04-01 09:27:32.7853,2026-04-01 01:27:32.7853,frame_000013.jpg,ARframe_000013.jpg,-0.1377,-0.2512,0.2817,0.00,317.49,161.28,0.0258,-0.2499,0.2948,0.00,318.80,196.77
14,40.785770,1775006852.919670,2026-04-01 09:27:32.9196,2026-04-01 01:27:32.9196,frame_000014.jpg,ARframe_000014.jpg,-0.1485,-0.2297,0.3092,0.00,323.06,160.91,0.0286,-0.2375,0.3035,0.00,321.15,196.72
15,40.919550,1775006853.052640,2026-04-01 09:27:33.0526,2026-04-01 01:27:33.0526,frame_000015.jpg,ARframe_000015.jpg,-0.1772,-0.2447,0.3429,0.00,324.88,158.16,0.0711,-0.2408,0.3470,0.00,325.63,201.55
16,41.052230,1775006853.185810,2026-04-01 09:27:33.1858,2026-04-01 01:27:33.1858,frame_000016.jpg,ARframe_000016.jpg,-0.1919,-0.2698,0.3548,0.00,323.53,156.60,0.0786,-0.2485,0.3556,0.00,325.69,202.24
17,41.186720,1775006853.319640,2026-04-01 09:27:33.3196,2026-04-01 01:27:33.3196,frame_000017.jpg,ARframe_000017.jpg,-0.1919,-0.2698,0.3548,0.00,323.64,156.65,0.0786,-0.2485,0.3556,0.00,325.83,202.31
18,41.318820,1775006853.452940,2026-04-01 09:27:33.4529,2026-04-01 01:27:33.4529,frame_000018.jpg,ARframe_000018.jpg,-0.1919,-0.2698,0.3548,0.00,323.85,156.62,0.0786,-0.2485,0.3556,0.00,326.02,202.20
19,41.452850,1775006853.585270,2026-04-01 09:27:33.5852,2026-04-01 01:27:33.5852,frame_000019.jpg,ARframe_000019.jpg,-0.1919,-0.2698,0.3548,0.00,323.96,156.52,0.0621,-0.3238,0.3350,0.00,316.23,200.72
20,41.585370,1775006853.720460,2026-04-01 09:27:33.7204,2026-04-01 01:27:33.7204,frame_000020.jpg,ARframe_000020.jpg,-0.1919,-0.2698,0.3548,0.00,324.03,156.30,0.0373,-0.3107,0.3223,0.00,315.62,196.98
21,41.718680,1775006853.853200,2026-04-01 09:27:33.8531,2026-04-01 01:27:33.8531,frame_000021.jpg,ARframe_000021.jpg,-0.1438,-0.2919,0.3256,0.00,317.93,162.19,0.0297,-0.2839,0.3216,0.00,318.03,195.49
22,41.852610,1775006853.985980,2026-04-01 09:27:33.9859,2026-04-01 01:27:33.9859,frame_000022.jpg,ARframe_000022.jpg,-0.1434,-0.2714,0.3248,0.00,320.04,162.28,0.0296,-0.2719,0.3250,0.00,319.64,195.26
23,41.986170,1775006854.119100,2026-04-01 09:27:34.1191,2026-04-01 01:27:34.1191,frame_000023.jpg,ARframe_000023.jpg,-0.1633,-0.2525,0.3302,0.00,323.20,159.40,0.0296,-0.2719,0.3250,0.00,319.69,195.28
24,42.118870,1775006854.252730,2026-04-01 09:27:34.2527,2026-04-01 01:27:34.2527,frame_000024.jpg,ARframe_000024.jpg,-0.1817,-0.2475,0.3326,0.00,324.66,156.84,0.0296,-0.2719,0.3250,0.00,319.89,195.31
25,42.252530,1775006854.386190,2026-04-01 09:27:34.3861,2026-04-01 01:27:34.3861,frame_000025.jpg,ARframe_000025.jpg,-0.1882,-0.2592,0.3327,0.00,323.63,156.24,0.0296,-0.2719,0.3250,0.00,320.10,195.50
26,42.385480,1775006854.518890,2026-04-01 09:27:34.5188,2026-04-01 01:27:34.5188,frame_000026.jpg,ARframe_000026.jpg,-0.1882,-0.2592,0.3327,0.00,323.68,156.42,0.0296,-0.2719,0.3250,0.00,320.20,195.59
27,42.519050,1775006854.652840,2026-04-01 09:27:34.6528,2026-04-01 01:27:34.6528,frame_000027.jpg,ARframe_000027.jpg,-0.1882,-0.2592,0.3327,0.00,323.70,156.50,0.0296,-0.2719,0.3250,0.00,320.24,195.55
28,42.652150,1775006854.786410,2026-04-01 09:27:34.7864,2026-04-01 01:27:34.7864,frame_000028.jpg,ARframe_000028.jpg,-0.1882,-0.2592,0.3327,0.00,323.70,156.61,0.0533,-0.3127,0.3275,0.00,316.99,199.49
29,42.787160,1775006854.918480,2026-04-01 09:27:34.9184,2026-04-01 01:27:34.9184,frame_000029.jpg,ARframe_000029.jpg,-0.1531,-0.2832,0.3169,0.00,318.81,161.58,0.0601,-0.3848,0.4179,0.00,317.82,196.25
30,42.920150,1775006855.055600,2026-04-01 09:27:35.0556,2026-04-01 01:27:35.0556,frame_000030.jpg,ARframe_000030.jpg,-0.1304,-0.2925,0.3330,0.00,318.67,166.57,0.0541,-0.3748,0.4166,0.00,318.42,195.64
31,43.052980,1775006855.187490,2026-04-01 09:27:35.1874,2026-04-01 01:27:35.1874,frame_000031.jpg,ARframe_000031.jpg,-0.1248,-0.2828,0.3207,0.00,318.37,167.05,0.0292,-0.2982,0.2948,0.00,314.81,197.49
32,43.186450,1775006855.319480,2026-04-01 09:27:35.3194,2026-04-01 01:27:35.3194,frame_000032.jpg,ARframe_000032.jpg,-0.1391,-0.2874,0.2721,0.00,313.58,161.83,0.0389,-0.3023,0.2857,0.00,313.93,200.10
33,43.319290,1775006855.454270,2026-04-01 09:27:35.4542,2026-04-01 01:27:35.4542,frame_000033.jpg,ARframe_000033.jpg,-0.1512,-0.2675,0.2879,0.00,317.73,160.61,0.0590,-0.3283,0.3509,0.00,317.76,199.55
34,43.452380,1775006855.586440,2026-04-01 09:27:35.5864,2026-04-01 01:27:35.5864,frame_000034.jpg,ARframe_000034.jpg,-0.1715,-0.2786,0.3100,0.00,319.21,158.72,0.1016,-0.3608,0.3747,0.00,318.01,204.51
35,43.585330,1775006855.718610,2026-04-01 09:27:35.7186,2026-04-01 01:27:35.7186,frame_000035.jpg,ARframe_000035.jpg,-0.1715,-0.2786,0.3100,0.00,319.24,158.96,0.1032,-0.3533,0.3704,0.00,318.49,205.10
36,43.719110,1775006855.852830,2026-04-01 09:27:35.8528,2026-04-01 01:27:35.8528,frame_000036.jpg,ARframe_000036.jpg,-0.1715,-0.2786,0.3100,0.00,319.27,159.20,0.1032,-0.3533,0.3704,0.00,318.58,205.22
37,43.852850,1775006855.988390,2026-04-01 09:27:35.9883,2026-04-01 01:27:35.9883,frame_000037.jpg,ARframe_000037.jpg,-0.1715,-0.2786,0.3100,0.00,319.24,159.34,0.1032,-0.3533,0.3704,0.00,318.60,205.33
38,43.985440,1775006856.119220,2026-04-01 09:27:36.1192,2026-04-01 01:27:36.1192,frame_000038.jpg,ARframe_000038.jpg,-0.1715,-0.2786,0.3100,0.00,319.22,159.43,0.1032,-0.3533,0.3704,0.00,318.61,205.36
39,44.119670,1775006856.254910,2026-04-01 09:27:36.2549,2026-04-01 01:27:36.2549,frame_000039.jpg,ARframe_000039.jpg,-0.1715,-0.2786,0.3100,0.00,319.23,159.46,0.1032,-0.3533,0.3704,0.00,318.61,205.35
40,44.252140,1775006856.386370,2026-04-01 09:27:36.3863,2026-04-01 01:27:36.3863,frame_000040.jpg,ARframe_000040.jpg,-0.1566,-0.2704,0.3025,0.00,319.03,161.52,0.0504,-0.2783,0.3196,0.00,320.21,200.55
41,44.386090,1775006856.519070,2026-04-01 09:27:36.5190,2026-04-01 01:27:36.5190,frame_000041.jpg,ARframe_000041.jpg,-0.1480,-0.2720,0.2925,0.00,317.71,162.33,0.0294,-0.2743,0.3138,0.00,319.50,197.07
42,44.518710,1775006856.652840,2026-04-01 09:27:36.6528,2026-04-01 01:27:36.6528,frame_000042.jpg,ARframe_000042.jpg,-0.1400,-0.2742,0.2885,0.00,316.85,163.41,0.0294,-0.2743,0.3138,0.00,319.45,196.92
43,44.652050,1775006856.786960,2026-04-01 09:27:36.7869,2026-04-01 01:27:36.7869,frame_000043.jpg,ARframe_000043.jpg,-0.1359,-0.2731,0.2857,0.00,316.63,164.14,0.0280,-0.2720,0.3109,0.00,319.48,196.85
44,44.785320,1775006856.918870,2026-04-01 09:27:36.9188,2026-04-01 01:27:36.9188,frame_000044.jpg,ARframe_000044.jpg,-0.1405,-0.2680,0.2863,0.00,317.44,163.30,0.0321,-0.2661,0.3076,0.00,320.02,197.80
45,44.919670,1775006857.053420,2026-04-01 09:27:37.0534,2026-04-01 01:27:37.0534,frame_000045.jpg,ARframe_000045.jpg,-0.1550,-0.2621,0.2892,0.00,318.95,160.71,0.0417,-0.2607,0.3069,0.00,320.93,199.49
46,45.052610,1775006857.186100,2026-04-01 09:27:37.1861,2026-04-01 01:27:37.1861,frame_000046.jpg,ARframe_000046.jpg,-0.1699,-0.2608,0.2891,0.00,319.74,157.98,0.0540,-0.2560,0.3079,0.00,322.05,201.44
47,45.185330,1775006857.319180,2026-04-01 09:27:37.3191,2026-04-01 01:27:37.3191,frame_000047.jpg,ARframe_000047.jpg,-0.1796,-0.2619,0.2898,0.00,320.27,156.31,0.0650,-0.2544,0.3085,0.00,322.82,202.98
48,45.318980,1775006857.450800,2026-04-01 09:27:37.4507,2026-04-01 01:27:37.4507,frame_000048.jpg,ARframe_000048.jpg,-0.1828,-0.2650,0.2889,0.00,320.12,155.81,0.3191,-0.4508,0.4260,0.00,321.98,222.60
49,45.452390,1775006857.585530,2026-04-01 09:27:37.5855,2026-04-01 01:27:37.5855,frame_000049.jpg,ARframe_000049.jpg,-0.1828,-0.2650,0.2889,0.00,320.26,155.81,0.0826,-0.3221,0.3026,0.00,316.25,206.18
50,45.585370,1775006857.719630,2026-04-01 09:27:37.7196,2026-04-01 01:27:37.7196,frame_000050.jpg,ARframe_000050.jpg,-0.1828,-0.2650,0.2889,0.00,320.36,155.87,0.0703,-0.3310,0.2988,0.00,314.76,204.51
51,45.718970,1775006857.854150,2026-04-01 09:27:37.8541,2026-04-01 01:27:37.8541,frame_000051.jpg,ARframe_000051.jpg,-0.1828,-0.2650,0.2889,0.00,320.40,155.77,0.0703,-0.3310,0.2988,0.00,314.76,204.47
52,45.852810,1775006857.985230,2026-04-01 09:27:37.9852,2026-04-01 01:27:37.9852,frame_000052.jpg,ARframe_000052.jpg,-0.1828,-0.2650,0.2889,0.00,320.41,155.74,0.0399,-0.2899,0.2836,0.00,316.31,200.14
53,45.985740,1775006858.119310,2026-04-01 09:27:38.1193,2026-04-01 01:27:38.1193,frame_000053.jpg,ARframe_000053.jpg,-0.1828,-0.2650,0.2889,0.00,320.49,155.72,0.0420,-0.2792,0.2809,0.00,317.32,200.52
54,46.119030,1775006858.254170,2026-04-01 09:27:38.2541,2026-04-01 01:27:38.2541,frame_000054.jpg,ARframe_000054.jpg,-0.1817,-0.2213,0.2608,0.00,323.50,153.57,0.0702,-0.2269,0.2873,0.00,325.11,204.75
55,46.252350,1775006858.387740,2026-04-01 09:27:38.3877,2026-04-01 01:27:38.3877,frame_000055.jpg,ARframe_000055.jpg,-0.1890,-0.2183,0.2593,0.00,324.17,152.06,0.0865,-0.2343,0.2862,0.00,324.76,207.37
56,46.387440,1775006858.519380,2026-04-01 09:27:38.5193,2026-04-01 01:27:38.5193,frame_000056.jpg,ARframe_000056.jpg,-0.1890,-0.2183,0.2593,0.00,324.11,152.04,0.3103,-0.4305,0.4221,0.00,322.97,221.72
57,46.551350,1775006858.688460,2026-04-01 09:27:38.6884,2026-04-01 01:27:38.6884,frame_000057.jpg,ARframe_000057.jpg,-0.1890,-0.2183,0.2593,0.00,324.00,152.03,0.3323,-0.4505,0.4268,0.00,322.57,223.11
58,46.753650,1775006858.885580,2026-04-01 09:27:38.8855,2026-04-01 01:27:38.8855,frame_000058.jpg,ARframe_000058.jpg,-0.1890,-0.2183,0.2593,0.00,323.86,152.12,0.0600,-0.3320,0.2914,0.00,313.66,203.26
59,46.921400,1775006859.054170,2026-04-01 09:27:39.0541,2026-04-01 01:27:39.0541,frame_000059.jpg,ARframe_000059.jpg,-0.1890,-0.2183,0.2593,0.00,323.74,152.25,0.0353,-0.3264,0.2864,0.00,312.82,199.61
60,47.052390,1775006859.186240,2026-04-01 09:27:39.1862,2026-04-01 01:27:39.1862,frame_000060.jpg,ARframe_000060.jpg,-0.1526,-0.2492,0.2660,0.00,318.82,159.89,0.0229,-0.2893,0.2806,0.00,315.46,197.62
61,47.185170,1775006859.319900,2026-04-01 09:27:39.3198,2026-04-01 01:27:39.3198,frame_000061.jpg,ARframe_000061.jpg,-0.1460,-0.2225,0.2586,0.00,321.29,160.74,0.0287,-0.2421,0.2798,0.00,320.98,198.65
62,47.320030,1775006859.452750,2026-04-01 09:27:39.4527,2026-04-01 01:27:39.4527,frame_000062.jpg,ARframe_000062.jpg,-0.1564,-0.1836,0.2443,0.00,326.01,157.46,0.0391,-0.2163,0.2827,0.00,324.94,200.14
63,47.453090,1775006859.585780,2026-04-01 09:27:39.5857,2026-04-01 01:27:39.5857,frame_000063.jpg,ARframe_000063.jpg,-0.1717,-0.1615,0.2359,0.00,329.55,153.53,0.0591,-0.2023,0.2881,0.00,327.94,202.99
64,47.585450,1775006859.719240,2026-04-01 09:27:39.7192,2026-04-01 01:27:39.7192,frame_000064.jpg,ARframe_000064.jpg,-0.1814,-0.1574,0.2338,0.00,330.63,151.14,0.0758,-0.2047,0.2934,0.00,328.57,204.96
65,47.719470,1775006859.854660,2026-04-01 09:27:39.8546,2026-04-01 01:27:39.8546,frame_000065.jpg,ARframe_000065.jpg,-0.1910,-0.1825,0.2430,0.00,327.74,150.16,0.0886,-0.2260,0.2967,0.00,326.43,206.76
66,47.852070,1775006859.987220,2026-04-01 09:27:39.9872,2026-04-01 01:27:39.9872,frame_000066.jpg,ARframe_000066.jpg,-0.1912,-0.2085,0.2514,0.00,324.51,150.92,0.0934,-0.2376,0.2970,0.00,325.18,207.56
67,47.986800,1775006860.118180,2026-04-01 09:27:40.1181,2026-04-01 01:27:40.1181,frame_000067.jpg,ARframe_000067.jpg,-0.1900,-0.2367,0.2575,0.00,321.10,151.86,0.0934,-0.2376,0.2970,0.00,325.18,207.56
68,48.183830,1775006860.320330,2026-04-01 09:27:40.3203,2026-04-01 01:27:40.3203,frame_000068.jpg,ARframe_000068.jpg,-0.1900,-0.2367,0.2575,0.00,320.95,151.84,0.0779,-0.2980,0.3049,0.00,318.45,205.41
69,48.386280,1775006860.519940,2026-04-01 09:27:40.5199,2026-04-01 01:27:40.5199,frame_000069.jpg,ARframe_000069.jpg,-0.1900,-0.2367,0.2575,0.00,320.66,151.27,0.0552,-0.3491,0.3151,0.00,313.44,201.17
70,48.518730,1775006860.659670,2026-04-01 09:27:40.6596,2026-04-01 01:27:40.6596,frame_000070.jpg,ARframe_000070.jpg,-0.1454,-0.2747,0.2733,0.00,315.58,160.59,0.0250,-0.3128,0.3029,0.00,314.36,196.29
71,48.652150,1775006860.785750,2026-04-01 09:27:40.7857,2026-04-01 01:27:40.7857,frame_000071.jpg,ARframe_000071.jpg,-0.1328,-0.2756,0.2731,0.00,315.02,162.99,0.0193,-0.2678,0.2940,0.00,317.96,195.55
72,48.785380,1775006860.921280,2026-04-01 09:27:40.9212,2026-04-01 01:27:40.9212,frame_000072.jpg,ARframe_000072.jpg,-0.1401,-0.2253,0.2547,0.00,319.62,160.25,0.0245,-0.2410,0.2903,0.00,321.06,196.49
73,48.919580,1775006861.053140,2026-04-01 09:27:41.0531,2026-04-01 01:27:41.0531,frame_000073.jpg,ARframe_000073.jpg,-0.1449,-0.1947,0.2450,0.00,323.55,158.64,0.0395,-0.2131,0.2873,0.00,325.06,198.83
74,49.052620,1775006861.188320,2026-04-01 09:27:41.1883,2026-04-01 01:27:41.1883,frame_000074.jpg,ARframe_000074.jpg,-0.1448,-0.1817,0.2402,0.00,325.73,156.83,0.0560,-0.2009,0.2889,0.00,327.30,199.61
75,49.186500,1775006861.319270,2026-04-01 09:27:41.3192,2026-04-01 01:27:41.3192,frame_000075.jpg,ARframe_000075.jpg,-0.1412,-0.1852,0.2393,0.00,325.80,155.03,0.0714,-0.2040,0.2880,0.00,327.08,199.67
76,49.319060,1775006861.452110,2026-04-01 09:27:41.4521,2026-04-01 01:27:41.4521,frame_000076.jpg,ARframe_000076.jpg,-0.1354,-0.2057,0.2454,0.00,323.82,153.74,0.0851,-0.2174,0.2869,0.00,325.21,199.62
77,49.452490,1775006861.585380,2026-04-01 09:27:41.5853,2026-04-01 01:27:41.5853,frame_000077.jpg,ARframe_000077.jpg,-0.1351,-0.2270,0.2501,0.00,321.72,151.60,0.0972,-0.2328,0.2855,0.00,322.97,200.11
78,49.586020,1775006861.720230,2026-04-01 09:27:41.7202,2026-04-01 01:27:41.7202,frame_000078.jpg,ARframe_000078.jpg,-0.1338,-0.2357,0.2531,0.00,320.84,149.91,0.0972,-0.2328,0.2855,0.00,322.28,198.99
