record_frame,unity_time,unix_time,system_time_local,system_time_utc,raw_image_filename,ar_image_filename,head_x,head_y,head_z,head_roll,head_pitch,head_yaw,left_palm_x,left_palm_y,left_palm_z,left_top_x,left_top_y,left_top_z,left_dir_x,left_dir_y,left_dir_z,right_palm_x,right_palm_y,right_palm_z,right_top_x,right_top_y,right_top_z,right_dir_x,right_dir_y,right_dir_z
0,61.584490,1775483165.024240,2026-04-06 21:46:05.0242,2026-04-06 13:46:05.0242,frame_000000.jpg,ARframe_000000.jpg,0.6613,0.1915,-0.0455,1.41,21.53,347.17,0.4768,0.0304,0.0929,0.4590,0.0067,0.1965,-0.1648,-0.2197,0.9615,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
1,61.723510,1775483165.145860,2026-04-06 21:46:05.1458,2026-04-06 13:46:05.1458,frame_000001.jpg,ARframe_000001.jpg,0.6605,0.1920,-0.0464,1.51,21.59,347.07,0.4767,0.0303,0.0930,0.4595,0.0067,0.1963,-0.1608,-0.2198,0.9622,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
2,61.849870,1775483165.267870,2026-04-06 21:46:05.2678,2026-04-06 13:46:05.2678,frame_000002.jpg,ARframe_000002.jpg,0.6598,0.1923,-0.0476,1.60,21.56,347.01,0.4753,0.0302,0.0920,0.4549,0.0062,0.1953,-0.1888,-0.2218,0.9566,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
3,61.963020,1775483165.384980,2026-04-06 21:46:05.3849,2026-04-06 13:46:05.3849,frame_000003.jpg,ARframe_000003.jpg,0.6590,0.1930,-0.0486,1.66,21.42,347.01,0.4756,0.0309,0.0920,0.4527,0.0080,0.1927,-0.2166,-0.2166,0.9519,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
4,62.080260,1775483165.501470,2026-04-06 21:46:05.5014,2026-04-06 13:46:05.5014,frame_000004.jpg,ARframe_000004.jpg,0.6580,0.1930,-0.0491,1.86,21.35,347.02,0.4726,0.0318,0.0902,0.4503,0.0094,0.1904,-0.2120,-0.2130,0.9538,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
5,62.195320,1775483165.615400,2026-04-06 21:46:05.6153,2026-04-06 13:46:05.6153,frame_000005.jpg,ARframe_000005.jpg,0.6573,0.1930,-0.0495,1.99,21.31,346.99,0.4709,0.0317,0.0895,0.4466,0.0093,0.1898,-0.2301,-0.2118,0.9498,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
6,62.314350,1775483165.735780,2026-04-06 21:46:05.7357,2026-04-06 13:46:05.7357,frame_000006.jpg,ARframe_000006.jpg,0.6571,0.1929,-0.0498,1.98,21.33,347.04,0.4708,0.0322,0.0894,0.4508,0.0110,0.1885,-0.1942,-0.2049,0.9593,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
7,62.430970,1775483165.849410,2026-04-06 21:46:05.8494,2026-04-06 13:46:05.8494,frame_000007.jpg,ARframe_000007.jpg,0.6570,0.1922,-0.0505,1.46,21.75,346.60,0.4699,0.0318,0.0887,0.4516,0.0099,0.1897,-0.1744,-0.2093,0.9622,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
8,62.542320,1775483165.969080,2026-04-06 21:46:05.9690,2026-04-06 13:46:05.9690,frame_000008.jpg,ARframe_000008.jpg,0.6574,0.1907,-0.0481,1.81,22.10,346.08,0.4721,0.0325,0.0888,0.4522,0.0096,0.1892,-0.1897,-0.2183,0.9573,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
9,62.663780,1775483166.083550,2026-04-06 21:46:06.0835,2026-04-06 13:46:06.0835,frame_000009.jpg,ARframe_000009.jpg,0.6607,0.1915,-0.0488,1.06,22.79,346.71,0.4732,0.0330,0.0880,0.4535,0.0084,0.1890,-0.1865,-0.2324,0.9546,0.9225,-0.1254,0.2612,0.9559,-0.1136,0.3571,0.3273,0.1156,0.9378
10,62.778640,1775483166.206660,2026-04-06 21:46:06.2066,2026-04-06 13:46:06.2066,frame_000010.jpg,ARframe_000010.jpg,0.6614,0.1919,-0.0534,0.87,22.49,347.62,0.4729,0.0319,0.0872,0.4512,0.0044,0.1869,-0.2049,-0.2608,0.9434,0.8532,-0.0692,0.2223,0.9559,-0.1136,0.3571,0.5864,-0.2533,0.7694
11,62.906730,1775483166.327310,2026-04-06 21:46:06.3273,2026-04-06 13:46:06.3273,frame_000011.jpg,ARframe_000011.jpg,0.6599,0.1925,-0.0593,0.94,22.19,347.28,0.4755,0.0312,0.0866,0.4542,-0.0055,0.1933,-0.1853,-0.3195,0.9293,0.7893,-0.0022,0.1819,0.7630,-0.0117,0.3055,-0.2070,-0.0750,0.9755
12,63.023270,1775483166.443620,2026-04-06 21:46:06.4436,2026-04-06 13:46:06.4436,frame_000012.jpg,ARframe_000012.jpg,0.6574,0.1928,-0.0637,1.27,21.91,346.90,0.4846,0.0311,0.0866,0.4551,-0.0086,0.1947,-0.2483,-0.3338,0.9093,0.7514,0.0252,0.1583,0.6912,0.0090,0.2715,-0.4661,-0.1250,0.8759
13,63.137100,1775483166.552250,2026-04-06 21:46:06.5522,2026-04-06 13:46:06.5532,frame_000013.jpg,ARframe_000013.jpg,0.6557,0.1930,-0.0659,1.32,21.92,346.42,0.4904,0.0313,0.0807,0.4730,-0.0028,0.1906,-0.1495,-0.2931,0.9443,0.7252,0.0243,0.1394,0.6398,0.0151,0.2292,-0.6870,-0.0736,0.7229
14,63.247950,1775483166.671710,2026-04-06 21:46:06.6717,2026-04-06 13:46:06.6717,frame_000014.jpg,ARframe_000014.jpg,0.6545,0.1928,-0.0658,1.46,21.80,346.49,0.4970,0.0327,0.0775,0.4891,0.0015,0.1832,-0.0709,-0.2822,0.9567,0.7076,0.0208,0.1362,0.6283,0.0118,0.2210,-0.6807,-0.0778,0.7284
15,63.364980,1775483166.790990,2026-04-06 21:46:06.7909,2026-04-06 13:46:06.7909,frame_000015.jpg,ARframe_000015.jpg,0.6525,0.1920,-0.0645,1.68,22.04,346.40,0.5012,0.0346,0.0735,0.4959,0.0024,0.1810,-0.0466,-0.2874,0.9567,0.6947,0.0150,0.1361,0.6199,0.0057,0.2152,-0.6842,-0.0853,0.7243
16,63.487680,1775483166.907940,2026-04-06 21:46:06.9079,2026-04-06 13:46:06.9079,frame_000016.jpg,ARframe_000016.jpg,0.6519,0.1917,-0.0632,1.79,22.40,346.62,0.5036,0.0398,0.0716,0.5046,0.0179,0.1728,0.0097,-0.2118,0.9773,0.6897,0.0136,0.1357,0.6180,0.0063,0.1738,-0.8801,-0.0889,0.4665
17,63.602650,1775483167.026610,2026-04-06 21:46:07.0266,2026-04-06 13:46:07.0266,frame_000017.jpg,ARframe_000017.jpg,0.6517,0.1916,-0.0621,1.80,22.36,346.79,0.5021,0.0445,0.0706,0.4989,0.0324,0.1677,-0.0321,-0.1237,0.9918,0.6895,0.0177,0.1382,0.6048,-0.0166,0.2338,-0.6404,-0.2591,0.7230
18,63.720360,1775483167.140220,2026-04-06 21:46:07.1402,2026-04-06 13:46:07.1402,frame_000018.jpg,ARframe_000018.jpg,0.6520,0.1907,-0.0607,1.92,22.62,347.17,0.4955,0.0488,0.0717,0.4778,0.0127,0.1868,-0.1448,-0.2957,0.9443,0.6491,-0.0035,0.2234,0.6085,-0.0194,0.2477,-0.8135,-0.3172,0.4875
